Message,source
go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,sms
ok lar joking wif u oni,sms
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s,sms
u dun say so early hor u c already then say,sms
nah i dont think he goes to usf he lives around here though,sms
freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send 150 to rcv,sms
even my brother is not like to speak with me they treat me like aids patent,sms
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,sms
winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,sms
had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,sms
im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,sms
six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,sms
urgent you have won a 1 week free membership in our 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,sms
ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,sms
i have a date on sunday with will,sms
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,sms
oh kim watching here,sms
eh u remember how 2 spell his name yes i did he v naughty make until i v wet,sms
fine if thats the way u feel thats the way its gota b,sms
england v macedonia dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt120 poboxox36504w45wq 16,sms
is that seriously how you spell his name,sms
im going to try for 2 months ha ha only joking,sms
so pay first lar then when is da stock comin,sms
aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,sms
ffffffffff alright no way i can meet up with you sooner,sms
just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,sms
lol your always so convincing,sms
did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,sms
im back amp were packing the car now ill let you know if theres room,sms
ahhh work i vaguely remember that what does it feel like lol,sms
wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,sms
yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you,sms
k tell me anything about you,sms
for fear of fainting with the of all that housework you just did quick have a cuppa,sms
thanks for your subscription to ringtone uk your mobile will be charged 5month please confirm by replying yes or no if you reply no you will not be charged,sms
yup ok i go home look at the timings then i msg again xuhui going to learn on 2nd may too but her lesson is at 8am,sms
oops ill let you know when my roommates done,sms
i see the letter b on my car,sms
anything lor u decide,sms
hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,sms
pls go ahead with watts i just wanted to be sure do have a great weekend abiola,sms
did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,sms
07732584351 rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow,sms
who are you seeing,sms
great i hope you like your man well endowed i am ltgt inches,sms
no callsmessagesmissed calls,sms
didnt you get hep b immunisation in nigeria,sms
fair enough anything going on,sms
yeah hopefully if tyler cant do it i could maybe ask around a bit,sms
u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,sms
what you thinked about me first time you saw me in class,sms
a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,sms
k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,sms
wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,sms
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,sms
do you know what mallika sherawat did yesterday find out now lturlgt,sms
congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out,sms
sorry ill call later in meeting,sms
tell where you reached,sms
yesgauti and sehwag out of odi series,sms
